IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
52.223.244.36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.253;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.168;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.134;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
99.181.96.189;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.12;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.228;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.173;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.236;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.177;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.100;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
52.223.227.157;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.96;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.104;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.226.79;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.176;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.98;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.138;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.243;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
